,source,target,value
394,Buddha,Naruto,10
395,Akatsuki,Naruto,10
396,Gosa,Hinata,10
397,Kakashi,Kisame,10
398,Ayame,Ichiraku,10
399,Inu,Tori,10
400,Byakugan,Kurenai,10
401,Hanzaki,Jiraiya,10
402,Gantetsu,Ninja,10
403,Saru,Tori,10
404,Kekkei,Sasuke,10
405,Kunihisa,Tsunade,10
406,Ne,Tori,10
407,Kakashi,Kiba,10
408,Ino,Kakashi,10
409,Byakugan,Sasuke,10
410,Gamabunta,Jiraiya,10
411,Hitsuji,Tori,10
412,Rock,Sasuke,10
413,Tsunade,the,10
414,Yakumo,an,10
415,Genno,Tsunade,10
416,Chishima,Komei,10
417,Naruto,Ranmaru,10
418,Tori,saru,10
419,Naruto,Tsubaki,10
420,Karashi,Rokusuke,10
421,Gaara,Hokage,10
422,Sagi,Tenten,10
423,Hitsuji,Inu,10
424,Owashi,the,10
425,Kabuto,Kimimaro,10
426,Naruto,Uchiha,10
427,Hotarubi,Sumaru,10
428,Kankuro,Sasuke,10
429,Choji,Lee,10
430,Neji,Ranmaru,10
431,Lee,Rock,10
432,Neji,Shino,10
433,Kakashi,Tazuna,10
434,Neji,Tsunade,10
435,Amachi,Orochimaru,10
436,Tori,tori,10
437,Karashi,Naruto,10
438,Jiraiya,the,10
439,Shino,Zaku,10
440,Naruto,lruka,9
441,Akio,Shura,9
442,Idate,Sakura,9
443,Hinata,Jiga,9
444,Kakashi,Sharingan,9
445,Hinata,Hyuga,9
446,Choji,Ninja,9
447,Kakashi,Shikamaru,9
448,Hinata,Kikunojou,9
449,Arashi,Kagero,9
450,Kiba,–,9
451,Akamaru,–,9
452,Gantetsu,Sakura,9
453,Kurenai,Tsunade,9
454,Naruto,Natsuhi,9
455,Nawaki,Tsunade,9
456,Kurenai,Unkai,9
457,Kakashi,Shino,9
458,Sakon,Tayuya,9
459,Tori,ushi,9
460,Gatsu,Tokichi,9
461,Temari,Tenten,9
462,Gaara,Seimei,9
463,Sakura,the,9
464,Idate,Naruto,9
465,Orochimaru,The,9
466,Ino,Lee,9
467,Kunoichi,Sakura,9
468,Ino,Kiba,9
469,Kazekage,Orochimaru,9
470,Isaribi,Orochimaru,9
471,Gamabunta,Naruto,9
472,Naruto,Udon,9
473,Genin,Sasuke,9
474,Kazekage,Sasuke,9
475,Arashi,Jigumo,9
476,An,Yakumo,9
477,Kakashi,the,9
478,Karashi,Tenten,9
479,Jirobo,Tayuya,9
480,Dojo,Naruto,9
481,Kiba,Lee,9
482,Cursed,Sagi,9
483,Itachi,Orochimaru,9
484,Chishima,Moso,9
485,Orochimaru,Tsubaki,9
486,Byakugan,Shino,9
487,Lee,Sensei,9
488,Haku,Kakashi,9
489,Hiashi,Ninja,8
490,Ino,Tsunade,8
491,Rasengan,–,8
492,Pervy,Shizune,8
493,Akahoshi,Hokuto,8
494,Choji,Genno,8
495,Hitsuji,Uma,8
496,Kakashi,Ninja,8
497,Janin,Naruto,8
498,Sasuke,Shinobi,8
499,Burn,Sasuke,8
500,Jonin,Orochimaru,8
